target_type,loss_function,weight_ex,batch_size,n_pairs,learning_rate,config,r2_avg,mae_avg,rmse_avg,softdtw_avg,fastdtw_avg,sid_avg,sis_avg,CV_r2_avg,CV_mae_avg,CV_rmse_avg,CV_softdtw_avg,CV_fastdtw_avg,CV_sid_avg,CV_sis_avg,val_loss_avg
default,MAE,0.1,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10618.316589355469,0.3012235641479492,0.4098281365633011,-675.6521130371094,138.55728,0.028191555067896844,0.9726220983139432,-1021.0263468424479,0.31704943378766376,0.4244047999382019,1353.0929768880208,2430.5103,0.6251940131187439,0.6154194361087203,0.3665326317151388
default,MAE,0.1,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-11219.446989440918,0.314241401553154,0.4211879676580429,-667.93568359375,140.84525,0.028713648580014704,0.9721270863411032,-758.6972859700521,0.2655221124490102,0.3682581384976705,1019.6187947591146,2044.355,0.6270275513331095,0.6147024438851173,0.3428268621365229
default,MAE,0.3,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-12770.40584777832,0.327622082233429,0.4493623876571655,-655.2499829101563,147.2205,0.028896065577864647,0.9719594127408946,-1039.1360880533855,0.3201015889644623,0.4302544395128886,1391.1746419270833,2412.385,0.625226100285848,0.6154064655650522,0.37759224474430086
default,MAE,0.3,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-11582.617010192871,0.3209688013792038,0.4279966598749161,-664.6409301757812,143.7632,0.02851030811667442,0.9723207455756168,-754.8066101074219,0.27366456389427185,0.3643085261185964,997.1576334635416,2057.0095,0.6241649985313416,0.6158042653992899,0.3564086774984995
default,MAE,0.5,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-11658.294188842774,0.310497151017189,0.42920965790748594,-666.3982348632812,140.28452,0.02869926121085882,0.9721415062016934,-1064.983378092448,0.3211134672164917,0.43689074118932086,1436.0474039713542,2409.6592,0.6259503364562988,0.6151257551233704,0.3691888729731242
default,MAE,0.5,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-11296.26215423584,0.31890408873558046,0.422491130232811,-667.0761352539063,143.32391,0.028577392846345903,0.9722597792066289,-753.5429890950521,0.2761530677477519,0.36600369215011597,1007.5557861328125,2094.9314,0.624736507733663,0.615589691697544,0.36123633086681367
default,MAE,0.7,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10747.424621887207,0.3051999545097351,0.4122869598865509,-673.4273022460937,138.05286,0.02888794884085655,0.9719645368762383,-942.3656005859375,0.3100622296333313,0.408585657676061,1254.1135660807292,2334.1428,0.6252313653628031,0.6154014344361145,0.36697085201740265
default,MAE,0.7,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10514.825405578613,0.29777933716773985,0.4078809404373169,-676.6668713378906,133.39745,0.028825631216168403,0.9720246097445114,-806.9542032877604,0.2797716160615285,0.37446974714597064,1056.8044026692708,2114.822,0.6265366673469543,0.614901382806023,0.35192526479562125
default,MAE,0.9,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10930.005399475098,0.302534795999527,0.41576558649539946,-672.9262841796875,136.247,0.028213802687823773,0.9725992212638127,-966.8513997395834,0.3078983922799428,0.4153481721878052,1302.2037353515625,2323.5774,0.6253599127133688,0.6153502017071882,0.36515285273392994
default,MAE,0.9,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10494.708188476563,0.2986935555934906,0.4074781847000122,-676.834052734375,134.22806,0.029086351022124292,0.9717808588046397,-885.4899088541666,0.291885773340861,0.39283814032872516,1170.0718790690105,2240.0325,0.6242171327273051,0.6157856970935961,0.35676426589488985
